filename,label,original_filename,source_path
dancing charleston_pHPFPmlp45I.mp4,dancing charleston,pHPFPmlp45I.mp4,E:\kinetics400_5per\train\dancing charleston\pHPFPmlp45I.mp4
front raises_4rTZpQQt14I.mp4,front raises,4rTZpQQt14I.mp4,E:\kinetics400_5per\train\front raises\4rTZpQQt14I.mp4
texting_3QodkdHSHvo.mp4,texting,3QodkdHSHvo.mp4,E:\kinetics400_5per\train\texting\3QodkdHSHvo.mp4
shaking head_XQjbEmVFXLs.mp4,shaking head,XQjbEmVFXLs.mp4,E:\kinetics400_5per\train\shaking head\XQjbEmVFXLs.mp4
eating ice cream_J6HlVXlBPpA.mp4,eating ice cream,J6HlVXlBPpA.mp4,E:\kinetics400_5per\train\eating ice cream\J6HlVXlBPpA.mp4
windsurfing_iezbalvyWOU.mp4,windsurfing,iezbalvyWOU.mp4,E:\kinetics400_5per\train\windsurfing\iezbalvyWOU.mp4
parasailing_ib4npoQwIHE.mp4,parasailing,ib4npoQwIHE.mp4,E:\kinetics400_5per\train\parasailing\ib4npoQwIHE.mp4
scuba diving_zUZ7R_c530M.mp4,scuba diving,zUZ7R_c530M.mp4,E:\kinetics400_5per\train\scuba diving\zUZ7R_c530M.mp4
whistling_75WQhadVtf4.mp4,whistling,75WQhadVtf4.mp4,E:\kinetics400_5per\train\whistling\75WQhadVtf4.mp4
tasting beer_YgH_PBKdE2E.mp4,tasting beer,YgH_PBKdE2E.mp4,E:\kinetics400_5per\train\tasting beer\YgH_PBKdE2E.mp4
playing poker_hiSpoL6vZmI.mp4,playing poker,hiSpoL6vZmI.mp4,E:\kinetics400_5per\train\playing poker\hiSpoL6vZmI.mp4
bobsledding_VXrhBFb9yAw.mp4,bobsledding,VXrhBFb9yAw.mp4,E:\kinetics400_5per\train\bobsledding\VXrhBFb9yAw.mp4
rock climbing_k2mkBDgCyhE.mp4,rock climbing,k2mkBDgCyhE.mp4,E:\kinetics400_5per\train\rock climbing\k2mkBDgCyhE.mp4
crossing river_SUV2kon5_fg.mp4,crossing river,SUV2kon5_fg.mp4,E:\kinetics400_5per\train\crossing river\SUV2kon5_fg.mp4
bartending__bZ8ATfiIoo.mp4,bartending,_bZ8ATfiIoo.mp4,E:\kinetics400_5per\train\bartending\_bZ8ATfiIoo.mp4
breakdancing_jFUthwVXmYc.mp4,breakdancing,jFUthwVXmYc.mp4,E:\kinetics400_5per\train\breakdancing\jFUthwVXmYc.mp4
push up_3ND3t_F_Qn4.mp4,push up,3ND3t_F_Qn4.mp4,E:\kinetics400_5per\train\push up\3ND3t_F_Qn4.mp4
watering plants_Ogr0R2lmY6g.mp4,watering plants,Ogr0R2lmY6g.mp4,E:\kinetics400_5per\train\watering plants\Ogr0R2lmY6g.mp4
picking fruit_9JR70i1bpiM.mp4,picking fruit,9JR70i1bpiM.mp4,E:\kinetics400_5per\train\picking fruit\9JR70i1bpiM.mp4
trimming or shaving beard_xiJjrWnjExY.mp4,trimming or shaving beard,xiJjrWnjExY.mp4,E:\kinetics400_5per\train\trimming or shaving beard\xiJjrWnjExY.mp4
playing monopoly_wOCI9cla-Gk.mp4,playing monopoly,wOCI9cla-Gk.mp4,E:\kinetics400_5per\train\playing monopoly\wOCI9cla-Gk.mp4
swimming backstroke_Z4_MnKtr_1k.mp4,swimming backstroke,Z4_MnKtr_1k.mp4,E:\kinetics400_5per\train\swimming backstroke\Z4_MnKtr_1k.mp4
clean and jerk__gQM3IKXg5k.mp4,clean and jerk,_gQM3IKXg5k.mp4,E:\kinetics400_5per\train\clean and jerk\_gQM3IKXg5k.mp4
playing cymbals_AaqiXvw2ALE.mp4,playing cymbals,AaqiXvw2ALE.mp4,E:\kinetics400_5per\train\playing cymbals\AaqiXvw2ALE.mp4
whistling_YAtS8LxqQdY.mp4,whistling,YAtS8LxqQdY.mp4,E:\kinetics400_5per\train\whistling\YAtS8LxqQdY.mp4
whistling_v2O1pU4XueU.mp4,whistling,v2O1pU4XueU.mp4,E:\kinetics400_5per\train\whistling\v2O1pU4XueU.mp4
laying bricks_YXuHKeKZl-Q.mp4,laying bricks,YXuHKeKZl-Q.mp4,E:\kinetics400_5per\train\laying bricks\YXuHKeKZl-Q.mp4
playing tennis_XESaZsZNC3E.mp4,playing tennis,XESaZsZNC3E.mp4,E:\kinetics400_5per\train\playing tennis\XESaZsZNC3E.mp4
punching person (boxing)_1X_d9kWynQ0.mp4,punching person (boxing),1X_d9kWynQ0.mp4,E:\kinetics400_5per\train\punching person (boxing)\1X_d9kWynQ0.mp4
smoking_TQoK1RxA6bs.mp4,smoking,TQoK1RxA6bs.mp4,E:\kinetics400_5per\train\smoking\TQoK1RxA6bs.mp4
squat_AfWQIkRZBYk.mp4,squat,AfWQIkRZBYk.mp4,E:\kinetics400_5per\train\squat\AfWQIkRZBYk.mp4
flipping pancake_e0zAsefseH4.mp4,flipping pancake,e0zAsefseH4.mp4,E:\kinetics400_5per\train\flipping pancake\e0zAsefseH4.mp4
tai chi_VaH76dkriow.mp4,tai chi,VaH76dkriow.mp4,E:\kinetics400_5per\train\tai chi\VaH76dkriow.mp4
jetskiing_fImFgaYtcpw.mp4,jetskiing,fImFgaYtcpw.mp4,E:\kinetics400_5per\train\jetskiing\fImFgaYtcpw.mp4
throwing axe_YLnS2YMZrgA.mp4,throwing axe,YLnS2YMZrgA.mp4,E:\kinetics400_5per\train\throwing axe\YLnS2YMZrgA.mp4
catching or throwing frisbee_lOpXJRQ6WYs.mp4,catching or throwing frisbee,lOpXJRQ6WYs.mp4,E:\kinetics400_5per\train\catching or throwing frisbee\lOpXJRQ6WYs.mp4
parasailing_ldAS5U5PEjU.mp4,parasailing,ldAS5U5PEjU.mp4,E:\kinetics400_5per\train\parasailing\ldAS5U5PEjU.mp4
playing ice hockey_fppEk17hs8M.mp4,playing ice hockey,fppEk17hs8M.mp4,E:\kinetics400_5per\train\playing ice hockey\fppEk17hs8M.mp4
hurdling_EXL3ivuaup8.mp4,hurdling,EXL3ivuaup8.mp4,E:\kinetics400_5per\train\hurdling\EXL3ivuaup8.mp4
feeding birds_CZ0JKZTrQ60.mp4,feeding birds,CZ0JKZTrQ60.mp4,E:\kinetics400_5per\train\feeding birds\CZ0JKZTrQ60.mp4
crying_tkGAMSVaEAU.mp4,crying,tkGAMSVaEAU.mp4,E:\kinetics400_5per\train\crying\tkGAMSVaEAU.mp4
zumba_EDaCHr1yRvc.mp4,zumba,EDaCHr1yRvc.mp4,E:\kinetics400_5per\train\zumba\EDaCHr1yRvc.mp4
playing xylophone_BzyYX4-uS2E.mp4,playing xylophone,BzyYX4-uS2E.mp4,E:\kinetics400_5per\train\playing xylophone\BzyYX4-uS2E.mp4
robot dancing_3q03FYT64o8.mp4,robot dancing,3q03FYT64o8.mp4,E:\kinetics400_5per\train\robot dancing\3q03FYT64o8.mp4
milking cow_pTtVHEJHDRE.mp4,milking cow,pTtVHEJHDRE.mp4,E:\kinetics400_5per\train\milking cow\pTtVHEJHDRE.mp4
milking cow_2y6qIBb-Qi4.mp4,milking cow,2y6qIBb-Qi4.mp4,E:\kinetics400_5per\train\milking cow\2y6qIBb-Qi4.mp4
wrapping present_TkAhZkxIRf0.mp4,wrapping present,TkAhZkxIRf0.mp4,E:\kinetics400_5per\train\wrapping present\TkAhZkxIRf0.mp4
sharpening pencil_mv_7gMPZct8.mp4,sharpening pencil,mv_7gMPZct8.mp4,E:\kinetics400_5per\train\sharpening pencil\mv_7gMPZct8.mp4
reading book_8sFK0UzoOKY.mp4,reading book,8sFK0UzoOKY.mp4,E:\kinetics400_5per\train\reading book\8sFK0UzoOKY.mp4
playing bass guitar_epzxu4t_VZk.mp4,playing bass guitar,epzxu4t_VZk.mp4,E:\kinetics400_5per\train\playing bass guitar\epzxu4t_VZk.mp4
long jump_HM8VdlSydSo.mp4,long jump,HM8VdlSydSo.mp4,E:\kinetics400_5per\train\long jump\HM8VdlSydSo.mp4
waxing chest_W3Bedxgnr5A.mp4,waxing chest,W3Bedxgnr5A.mp4,E:\kinetics400_5per\train\waxing chest\W3Bedxgnr5A.mp4
crawling baby_3qCTkzcZ_h8.mp4,crawling baby,3qCTkzcZ_h8.mp4,E:\kinetics400_5per\train\crawling baby\3qCTkzcZ_h8.mp4
baby waking up_oZ5lWTKBSzg.mp4,baby waking up,oZ5lWTKBSzg.mp4,E:\kinetics400_5per\train\baby waking up\oZ5lWTKBSzg.mp4
drinking beer_C8Vwgdv_V0k.mp4,drinking beer,C8Vwgdv_V0k.mp4,E:\kinetics400_5per\train\drinking beer\C8Vwgdv_V0k.mp4
snatch weight lifting_JQy4zMQEGww.mp4,snatch weight lifting,JQy4zMQEGww.mp4,E:\kinetics400_5per\train\snatch weight lifting\JQy4zMQEGww.mp4
throwing discus_Neke9_55FKw.mp4,throwing discus,Neke9_55FKw.mp4,E:\kinetics400_5per\train\throwing discus\Neke9_55FKw.mp4
playing controller_5W13XiIxE_A.mp4,playing controller,5W13XiIxE_A.mp4,E:\kinetics400_5per\train\playing controller\5W13XiIxE_A.mp4
zumba_kI6ICzcZYK4.mp4,zumba,kI6ICzcZYK4.mp4,E:\kinetics400_5per\train\zumba\kI6ICzcZYK4.mp4
juggling fire_tDmdjOhEM10.mp4,juggling fire,tDmdjOhEM10.mp4,E:\kinetics400_5per\train\juggling fire\tDmdjOhEM10.mp4
carrying baby_Ko2a_V3KmbY.mp4,carrying baby,Ko2a_V3KmbY.mp4,E:\kinetics400_5per\train\carrying baby\Ko2a_V3KmbY.mp4
snowboarding_4nxGSTvoghk.mp4,snowboarding,4nxGSTvoghk.mp4,E:\kinetics400_5per\train\snowboarding\4nxGSTvoghk.mp4
shaking hands_jFsANvy8NPg.mp4,shaking hands,jFsANvy8NPg.mp4,E:\kinetics400_5per\train\shaking hands\jFsANvy8NPg.mp4
hammer throw_C2zdmvw56o4.mp4,hammer throw,C2zdmvw56o4.mp4,E:\kinetics400_5per\train\hammer throw\C2zdmvw56o4.mp4
driving car_yNSe9jMq994.mp4,driving car,yNSe9jMq994.mp4,E:\kinetics400_5per\train\driving car\yNSe9jMq994.mp4
stretching leg_hF55Dt9cjLs.mp4,stretching leg,hF55Dt9cjLs.mp4,E:\kinetics400_5per\train\stretching leg\hF55Dt9cjLs.mp4
celebrating_PRYAI7weKNA.mp4,celebrating,PRYAI7weKNA.mp4,E:\kinetics400_5per\train\celebrating\PRYAI7weKNA.mp4
squat_PUsv9bozPzA.mp4,squat,PUsv9bozPzA.mp4,E:\kinetics400_5per\train\squat\PUsv9bozPzA.mp4
archery_J6YU92u-Dxs.mp4,archery,J6YU92u-Dxs.mp4,E:\kinetics400_5per\train\archery\J6YU92u-Dxs.mp4
passing American football (in game)_8l8TJO8KW1E.mp4,passing American football (in game),8l8TJO8KW1E.mp4,E:\kinetics400_5per\train\passing American football (in game)\8l8TJO8KW1E.mp4
cleaning toilet_aX01rWlmYJE.mp4,cleaning toilet,aX01rWlmYJE.mp4,E:\kinetics400_5per\train\cleaning toilet\aX01rWlmYJE.mp4
snorkeling_F5dRNiDPfXQ.mp4,snorkeling,F5dRNiDPfXQ.mp4,E:\kinetics400_5per\train\snorkeling\F5dRNiDPfXQ.mp4
shoveling snow_-RJjabrlrjU.mp4,shoveling snow,-RJjabrlrjU.mp4,E:\kinetics400_5per\train\shoveling snow\-RJjabrlrjU.mp4
presenting weather forecast_SlzEblqYh14.mp4,presenting weather forecast,SlzEblqYh14.mp4,E:\kinetics400_5per\train\presenting weather forecast\SlzEblqYh14.mp4
swimming butterfly stroke_XIyS4RiskQM.mp4,swimming butterfly stroke,XIyS4RiskQM.mp4,E:\kinetics400_5per\train\swimming butterfly stroke\XIyS4RiskQM.mp4
carrying baby_WjrGvK-vF8s.mp4,carrying baby,WjrGvK-vF8s.mp4,E:\kinetics400_5per\train\carrying baby\WjrGvK-vF8s.mp4
riding unicycle_D3oaPHzfBD0.mp4,riding unicycle,D3oaPHzfBD0.mp4,E:\kinetics400_5per\train\riding unicycle\D3oaPHzfBD0.mp4
doing laundry_Gcz097FJs0I.mp4,doing laundry,Gcz097FJs0I.mp4,E:\kinetics400_5per\train\doing laundry\Gcz097FJs0I.mp4
brushing teeth_gRzVNfBGulA.mp4,brushing teeth,gRzVNfBGulA.mp4,E:\kinetics400_5per\train\brushing teeth\gRzVNfBGulA.mp4
waxing chest_HWYN9VX_cCI.mp4,waxing chest,HWYN9VX_cCI.mp4,E:\kinetics400_5per\train\waxing chest\HWYN9VX_cCI.mp4
dancing charleston_iCIW_bMX9GM.mp4,dancing charleston,iCIW_bMX9GM.mp4,E:\kinetics400_5per\train\dancing charleston\iCIW_bMX9GM.mp4
headbanging_Z2OmqV_MCGk.mp4,headbanging,Z2OmqV_MCGk.mp4,E:\kinetics400_5per\train\headbanging\Z2OmqV_MCGk.mp4
playing harp_dxzLfLfRhZA.mp4,playing harp,dxzLfLfRhZA.mp4,E:\kinetics400_5per\train\playing harp\dxzLfLfRhZA.mp4
water skiing_-Fp5reKg40w.mp4,water skiing,-Fp5reKg40w.mp4,E:\kinetics400_5per\train\water skiing\-Fp5reKg40w.mp4
air drumming_Ob-VYqPMlxM.mp4,air drumming,Ob-VYqPMlxM.mp4,E:\kinetics400_5per\train\air drumming\Ob-VYqPMlxM.mp4
throwing ball_i0zjoAVd0_g.mp4,throwing ball,i0zjoAVd0_g.mp4,E:\kinetics400_5per\train\throwing ball\i0zjoAVd0_g.mp4
playing tennis_AIpbFuFKKyI.mp4,playing tennis,AIpbFuFKKyI.mp4,E:\kinetics400_5per\train\playing tennis\AIpbFuFKKyI.mp4
shot put_nHTC03tkqJE.mp4,shot put,nHTC03tkqJE.mp4,E:\kinetics400_5per\train\shot put\nHTC03tkqJE.mp4
cleaning shoes_g80T9MuVJ5I.mp4,cleaning shoes,g80T9MuVJ5I.mp4,E:\kinetics400_5per\train\cleaning shoes\g80T9MuVJ5I.mp4
jumping into pool_nX48z_oGJhU.mp4,jumping into pool,nX48z_oGJhU.mp4,E:\kinetics400_5per\train\jumping into pool\nX48z_oGJhU.mp4
salsa dancing_09Hbbin_TK0.mp4,salsa dancing,09Hbbin_TK0.mp4,E:\kinetics400_5per\train\salsa dancing\09Hbbin_TK0.mp4
making pizza_DrtZbeppObU.mp4,making pizza,DrtZbeppObU.mp4,E:\kinetics400_5per\train\making pizza\DrtZbeppObU.mp4
playing ice hockey_LMvutv1852Q.mp4,playing ice hockey,LMvutv1852Q.mp4,E:\kinetics400_5per\train\playing ice hockey\LMvutv1852Q.mp4
cleaning shoes_Jzqjite1jmY.mp4,cleaning shoes,Jzqjite1jmY.mp4,E:\kinetics400_5per\train\cleaning shoes\Jzqjite1jmY.mp4
snatch weight lifting_SHfMlMML0Mc.mp4,snatch weight lifting,SHfMlMML0Mc.mp4,E:\kinetics400_5per\train\snatch weight lifting\SHfMlMML0Mc.mp4
surfing water_eF9ipyXv1U8.mp4,surfing water,eF9ipyXv1U8.mp4,E:\kinetics400_5per\train\surfing water\eF9ipyXv1U8.mp4
playing harmonica_nz4NAN9aL08.mp4,playing harmonica,nz4NAN9aL08.mp4,E:\kinetics400_5per\train\playing harmonica\nz4NAN9aL08.mp4
waxing back_joyyX-wIguU.mp4,waxing back,joyyX-wIguU.mp4,E:\kinetics400_5per\train\waxing back\joyyX-wIguU.mp4
changing oil_kpvtKo3B8y0.mp4,changing oil,kpvtKo3B8y0.mp4,E:\kinetics400_5per\train\changing oil\kpvtKo3B8y0.mp4
cooking sausages_ruoXUbN3EKI.mp4,cooking sausages,ruoXUbN3EKI.mp4,E:\kinetics400_5per\train\cooking sausages\ruoXUbN3EKI.mp4
playing volleyball_Bc3avrX2OI4.mp4,playing volleyball,Bc3avrX2OI4.mp4,E:\kinetics400_5per\train\playing volleyball\Bc3avrX2OI4.mp4
sharpening pencil_MbOgl7RXNhs.mp4,sharpening pencil,MbOgl7RXNhs.mp4,E:\kinetics400_5per\train\sharpening pencil\MbOgl7RXNhs.mp4
passing American football (in game)_vLn3819JMnk.mp4,passing American football (in game),vLn3819JMnk.mp4,E:\kinetics400_5per\train\passing American football (in game)\vLn3819JMnk.mp4
